
 Array R_I
 ---------
    1 -    5:      1.1000000000000D-02     1.1000000000000D-02     1.1000000000000D-02     1.1000000000000D-02     1.1000000000000D-02
    6 -   10:      1.1000000000000D-02     1.1000000000000D-02     1.1000000000000D-02     1.1000000000000D-02     1.1000000000000D-02
   11 -   15:      1.1000000000000D-02     1.1000000000000D-02     1.1000000000000D-02     1.1000000000000D-02     1.1000000000000D-02
   16 -   20:      1.1000000000000D-02     1.1000000000000D-02     1.1000000000000D-02     1.1116480000000D-02     1.1349440000000D-02
   21 -   25:      1.1582400000000D-02     1.1815360000000D-02     1.2048320000000D-02     1.2281280000000D-02     1.2514240000000D-02
   26 -   30:      1.2747200000000D-02     1.2980160000000D-02     1.3213120000000D-02     1.3446080000000D-02     1.3679040000000D-02
   31 -   35:      1.3912000000000D-02     1.4144960000000D-02     1.4377920000000D-02     1.4610880000000D-02     1.4843840000000D-02
   36 -   40:      1.5076800000000D-02     1.5309760000000D-02     1.5542720000000D-02     1.5775680000000D-02     1.6008640000000D-02
   41 -   45:      1.6241600000000D-02     1.6474560000000D-02     1.6707520000000D-02     1.6940480000000D-02     1.7173440000000D-02
   46 -   50:      1.7406400000000D-02     1.7639360000000D-02     1.7872320000000D-02     1.8105280000000D-02     1.8338240000000D-02
   51 -   55:      1.8571200000000D-02     1.8804160000000D-02     1.9037120000000D-02     1.9270080000000D-02     1.9503040000000D-02
   56 -   60:      1.9736000000000D-02     1.9736000000000D-02     1.9736000000000D-02     1.9736000000000D-02     1.9736000000000D-02
   61 -   65:      1.9736000000000D-02     1.9772956945220D-02     1.9809839796369D-02     1.9846010477615D-02     1.9881470318793D-02
   66 -   70:      1.9916220620395D-02     1.9950262653814D-02     1.9983597661586D-02     2.0016226857624D-02     2.0048151427452D-02
   71 -   75:      2.0079372528422D-02     2.0109891289932D-02     2.0139708813642D-02     2.0168826173671D-02     2.0197244416801D-02
   76 -   80:      2.0224964562671D-02     2.0251987603959D-02     2.0278314506573D-02     2.0303946209820D-02     2.0328883626581D-02
   81 -   85:      2.0353127643476D-02     2.0376679121027D-02     2.0399538893809D-02     2.0421707770608D-02     2.0443186534557D-02
   86 -   90:      2.0463975943285D-02     2.0484076729049D-02     2.0503489598863D-02     2.0522215234629D-02     2.0540254293253D-02
   91 -   95:      2.0557607406765D-02     2.0574275182430D-02     2.0590258202854D-02     2.0605557026091D-02     2.0620172185733D-02
   96 -  100:      2.0634104191014D-02     2.0647353526892D-02     2.0659920654137D-02     2.0671806009409D-02     2.0683010005338D-02
  101 -  105:      2.0693533030594D-02     2.0703375449954D-02     2.0712537604366D-02     2.0721019811011D-02     2.0728822363352D-02
  106 -  110:      2.0735945531191D-02     2.0742389560711D-02     2.0748154674524D-02     2.0753241071702D-02     2.0757648927820D-02
  111 -  115:      2.0761378394979D-02     2.0764429601837D-02     2.0766802653628D-02     2.0768497632184D-02     2.0769514595944D-02
  116 -  120:      2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02
  121 -  125:      2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02
  126 -  130:      2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02
  131 -  135:      2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02
  136 -  140:      2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02
  141 -  145:      2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02
  146 -  150:      2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02
  151 -  155:      2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02
  156 -  160:      2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02
  161 -  165:      2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02
  166 -  170:      2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02
  171 -  175:      2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02     2.0770000000000D-02
  176 -  180:      2.0770000000000D-02     2.0770358301253D-02     2.0770576483215D-02     2.0770940120204D-02     2.0771449212796D-02
  181 -  185:      2.0772103761799D-02     2.0772903768252D-02     2.0773849233424D-02     2.0774940158816D-02     2.0776176546159D-02
  186 -  190:      2.0777558397414D-02     2.0779085714775D-02     2.0780758500665D-02     2.0782576757740D-02     2.0784540488884D-02
  191 -  195:      2.0786649697215D-02     2.0788904386080D-02     2.0791304559057D-02     2.0793850219957D-02     2.0796541372820D-02
  196 -  200:      2.0799378021917D-02     2.0802360171752D-02     2.0805487827059D-02     2.0808760992803D-02     2.0812179674181D-02
  201 -  205:      2.0815743876620D-02     2.0819453605780D-02     2.0823308867552D-02     2.0827309668057D-02     2.0831456013648D-02
