
 Array DELTA_I
 -------------
   93 -   94: (-2.7461385849794D-01, 0.0000000000000D+00)  (-2.5095980730790D-01, 0.0000000000000D+00)  
   95 -   96: (-2.2841194758231D-01, 0.0000000000000D+00)  (-2.0696262904977D-01, 0.0000000000000D+00)  
   97 -   98: (-1.8660459594984D-01, 0.0000000000000D+00)  (-1.6733098131250D-01, 0.0000000000000D+00)  
   99 -  100: (-1.4913530156500D-01, 0.0000000000000D+00)  (-1.3201145145859D-01, 0.0000000000000D+00)  
  101 -  102: (-1.1595369930785D-01, 0.0000000000000D+00)  (-1.0095668253607D-01, 0.0000000000000D+00)  
  103 -  104: (-8.7015403520542D-02, 0.0000000000000D+00)  (-7.4125225731685D-02, 0.0000000000000D+00)  
  105 -  106: (-6.2281870161107D-02, 0.0000000000000D+00)  (-5.1481412033355D-02, 0.0000000000000D+00)  
  107 -  108: (-4.1720277796931D-02, 0.0000000000000D+00)  (-3.2995242390524D-02, 0.0000000000000D+00)  
  109 -  110: (-2.5303426780583D-02, 0.0000000000000D+00)  (-1.8642295767069D-02, 0.0000000000000D+00)  
  111 -  112: (-1.3009656054176D-02, 0.0000000000000D+00)  (-8.4036545836459D-03, 0.0000000000000D+00)  
  113 -  114: (-4.8227771282091D-03, 0.0000000000000D+00)  (-2.2658471433367D-03, 0.0000000000000D+00)  
  115 -  116: (-7.3202487582865D-04, 0.0000000000000D+00)  ( 0.0000000000000D+00, 0.0000000000000D+00)  
  117 -  118: ( 0.0000000000000D+00, 0.0000000000000D+00)  ( 0.0000000000000D+00, 0.0000000000000D+00)  
  119 -  120: ( 0.0000000000000D+00, 0.0000000000000D+00)  ( 0.0000000000000D+00, 0.0000000000000D+00)  
  121 -  122: ( 0.0000000000000D+00, 0.0000000000000D+00)  ( 0.0000000000000D+00, 0.0000000000000D+00)  
  123 -  124: ( 0.0000000000000D+00, 0.0000000000000D+00)  ( 0.0000000000000D+00, 0.0000000000000D+00)  
  125 -  126: ( 0.0000000000000D+00, 0.0000000000000D+00)  ( 0.0000000000000D+00, 0.0000000000000D+00)  
  127 -  128: ( 0.0000000000000D+00, 0.0000000000000D+00)  ( 0.0000000000000D+00, 0.0000000000000D+00)  
  129 -  130: ( 0.0000000000000D+00, 0.0000000000000D+00)  ( 0.0000000000000D+00, 0.0000000000000D+00)  
  131 -  132: ( 0.0000000000000D+00, 0.0000000000000D+00)  ( 0.0000000000000D+00, 0.0000000000000D+00)  
  133 -  134: ( 0.0000000000000D+00, 0.0000000000000D+00)  ( 0.0000000000000D+00, 0.0000000000000D+00)  
  135 -  136: ( 0.0000000000000D+00, 0.0000000000000D+00)  ( 0.0000000000000D+00, 0.0000000000000D+00)  
  137 -  138: ( 0.0000000000000D+00, 0.0000000000000D+00)  ( 0.0000000000000D+00, 0.0000000000000D+00)  
  139 -  140: ( 0.0000000000000D+00, 0.0000000000000D+00)  ( 0.0000000000000D+00, 0.0000000000000D+00)  
  141 -  142: ( 0.0000000000000D+00, 0.0000000000000D+00)  ( 0.0000000000000D+00, 0.0000000000000D+00)  
  143 -  144: ( 0.0000000000000D+00, 0.0000000000000D+00)  ( 0.0000000000000D+00, 0.0000000000000D+00)  
  145 -  146: ( 0.0000000000000D+00, 0.0000000000000D+00)  ( 0.0000000000000D+00, 0.0000000000000D+00)  
  147 -  148: ( 0.0000000000000D+00, 0.0000000000000D+00)  ( 0.0000000000000D+00, 0.0000000000000D+00)  
  149 -  150: ( 0.0000000000000D+00, 0.0000000000000D+00)  ( 0.0000000000000D+00, 0.0000000000000D+00)  
  151 -  152: ( 0.0000000000000D+00, 0.0000000000000D+00)  ( 0.0000000000000D+00, 0.0000000000000D+00)  
  153 -  154: ( 0.0000000000000D+00, 0.0000000000000D+00)  ( 0.0000000000000D+00, 0.0000000000000D+00)  
  155 -  156: ( 0.0000000000000D+00, 0.0000000000000D+00)  ( 0.0000000000000D+00, 0.0000000000000D+00)  
  157 -  158: ( 0.0000000000000D+00, 0.0000000000000D+00)  ( 0.0000000000000D+00, 0.0000000000000D+00)  
  159 -  160: ( 0.0000000000000D+00, 0.0000000000000D+00)  ( 0.0000000000000D+00, 0.0000000000000D+00)  
  161 -  162: ( 0.0000000000000D+00, 0.0000000000000D+00)  ( 0.0000000000000D+00, 0.0000000000000D+00)  
  163 -  164: ( 0.0000000000000D+00, 0.0000000000000D+00)  ( 0.0000000000000D+00, 0.0000000000000D+00)  
  165 -  166: ( 0.0000000000000D+00, 0.0000000000000D+00)  ( 0.0000000000000D+00, 0.0000000000000D+00)  
  167 -  168: ( 0.0000000000000D+00, 0.0000000000000D+00)  ( 0.0000000000000D+00, 0.0000000000000D+00)  
  169 -  170: ( 0.0000000000000D+00, 0.0000000000000D+00)  ( 0.0000000000000D+00, 0.0000000000000D+00)  
  171 -  172: ( 0.0000000000000D+00, 0.0000000000000D+00)  ( 0.0000000000000D+00, 0.0000000000000D+00)  
  173 -  174: ( 0.0000000000000D+00, 0.0000000000000D+00)  ( 0.0000000000000D+00, 0.0000000000000D+00)  
  175 -  176: ( 0.0000000000000D+00, 0.0000000000000D+00)  ( 0.0000000000000D+00, 0.0000000000000D+00)  
  177 -  178: ( 5.4031161397970D-04, 0.0000000000000D+00)  ( 8.6931225104423D-04, 0.0000000000000D+00)  
  179 -  180: ( 1.4176241871160D-03, 0.0000000000000D+00)  ( 2.1852137367354D-03, 0.0000000000000D+00)  
  181 -  182: ( 3.1720337468248D-03, 0.0000000000000D+00)  ( 4.3780236029223D-03, 0.0000000000000D+00)  
  183 -  184: ( 5.8031092375389D-03, 0.0000000000000D+00)  ( 7.4472031398559D-03, 0.0000000000000D+00)  
  185 -  186: ( 9.3102043681058D-03, 0.0000000000000D+00)  ( 1.1391998562788D-02, 0.0000000000000D+00)  
  187 -  188: ( 1.3692457962697D-02, 0.0000000000000D+00)  ( 1.6211441421571D-02, 0.0000000000000D+00)  
  189 -  190: ( 1.8948794427815D-02, 0.0000000000000D+00)  ( 2.1904349125139D-02, 0.0000000000000D+00)  
  191 -  192: ( 2.5077924335315D-02, 0.0000000000000D+00)  ( 2.8469325582672D-02, 0.0000000000000D+00)  
  193 -  194: ( 3.2078345120444D-02, 0.0000000000000D+00)  ( 3.5904761958886D-02, 0.0000000000000D+00)  
  195 -  196: ( 3.9948341895203D-02, 0.0000000000000D+00)  ( 4.4208837544914D-02, 0.0000000000000D+00)  
  197 -  198: ( 4.8685988375395D-02, 0.0000000000000D+00)  ( 5.3379520741119D-02, 0.0000000000000D+00)  
  199 -  200: ( 5.8289147920398D-02, 0.0000000000000D+00)  ( 6.3414570153932D-02, 0.0000000000000D+00)  
  201 -  202: ( 6.8755474685441D-02, 0.0000000000000D+00)  ( 7.4311535803407D-02, 0.0000000000000D+00)  
  203 -  204: ( 8.0082414885095D-02, 0.0000000000000D+00)  ( 8.6067760441703D-02, 0.0000000000000D+00)  
  205 -  206: ( 9.2267208165859D-02, 0.0000000000000D+00)  ( 9.8680380980281D-02, 0.0000000000000D+00)  
  207 -  208: ( 1.0530688908802D-01, 0.0000000000000D+00)  ( 1.1214633002516D-01, 0.0000000000000D+00)  
  209 -  210: ( 1.1919828871417D-01, 0.0000000000000D+00)  ( 1.2646233751928D-01, 0.0000000000000D+00)  
  211 -  212: ( 1.3393803630375D-01, 0.0000000000000D+00)  ( 1.4162493248834D-01, 0.0000000000000D+00)  
  213 -  214: ( 1.4952256111156D-01, 0.0000000000000D+00)  ( 1.5763044489130D-01, 0.0000000000000D+00)  
  215 -  216: ( 1.6594809428859D-01, 0.0000000000000D+00)  ( 1.7447500757181D-01, 0.0000000000000D+00)  
  217 -  218: ( 1.8321067088372D-01, 0.0000000000000D+00)  ( 1.9215455830908D-01, 0.0000000000000D+00)  
  219 -  220: ( 2.0130613194423D-01, 0.0000000000000D+00)  ( 2.1066484196767D-01, 0.0000000000000D+00)  
  221 -  222: ( 2.2023012671295D-01, 0.0000000000000D+00)  ( 2.3000141274202D-01, 0.0000000000000D+00)  
  223 -  224: ( 2.3997811492089D-01, 0.0000000000000D+00)  ( 2.5015963649579D-01, 0.0000000000000D+00)  
  225 -  226: ( 2.6054536917187D-01, 0.0000000000000D+00)  ( 2.7113469319216D-01, 0.0000000000000D+00)  
  227 -  228: ( 2.8192697741859D-01, 0.0000000000000D+00)  ( 2.9292157941419D-01, 0.0000000000000D+00)  
  229 -  230: ( 3.0411784552638D-01, 0.0000000000000D+00)  ( 3.1551511097218D-01, 0.0000000000000D+00)  
  231 -  232: ( 3.2711269992377D-01, 0.0000000000000D+00)  ( 3.3890992559625D-01, 0.0000000000000D+00)  
  233 -  234: ( 3.5090609033607D-01, 0.0000000000000D+00)  ( 3.6310048571081D-01, 0.0000000000000D+00)  
  235 -  236: ( 3.7549239260050D-01, 0.0000000000000D+00)  ( 3.8808108128956D-01, 0.0000000000000D+00)  
  237 -  238: ( 4.0086581156042D-01, 0.0000000000000D+00)  ( 4.1384583278793D-01, 0.0000000000000D+00)  
  239 -  240: ( 4.2702038403519D-01, 0.0000000000000D+00)  ( 4.4038869415013D-01, 0.0000000000000D+00)  
  241 -  242: ( 4.5394998186382D-01, 0.0000000000000D+00)  ( 4.6770345588891D-01, 0.0000000000000D+00)  
  243 -  244: ( 4.8164831501998D-01, 0.0000000000000D+00)  ( 4.9578374823439D-01, 0.0000000000000D+00)  
  245 -  246: ( 5.1010893479428D-01, 0.0000000000000D+00)  ( 5.2462304434993D-01, 0.0000000000000D+00)  
  247 -  248: ( 5.3932523704320D-01, 0.0000000000000D+00)  ( 5.5421466361274D-01, 0.0000000000000D+00)  
  249 -  250: ( 5.6929046549964D-01, 0.0000000000000D+00)  ( 5.8455177495432D-01, 0.0000000000000D+00)  
  251 -  252: ( 5.9999771514389D-01, 0.0000000000000D+00)  ( 6.1562740026066D-01, 0.0000000000000D+00)  
  253 -  254: ( 6.3143993563151D-01, 0.0000000000000D+00)  ( 6.4743441782751D-01, 0.0000000000000D+00)  
  255 -  256: ( 6.6360993477520D-01, 0.0000000000000D+00)  ( 6.7996556586781D-01, 0.0000000000000D+00)  
  257 -  258: ( 6.9650038207780D-01, 0.0000000000000D+00)  ( 7.1321344606962D-01, 0.0000000000000D+00)  
  259 -  260: ( 7.3010381231360D-01, 0.0000000000000D+00)  ( 7.4717052720022D-01, 0.0000000000000D+00)  
  261 -  262: ( 7.6441262915515D-01, 0.0000000000000D+00)  ( 7.8182914875461D-01, 0.0000000000000D+00)  
  263 -  264: ( 7.9941910884196D-01, 0.0000000000000D+00)  ( 8.1718152464412D-01, 0.0000000000000D+00)  
  265 -  266: ( 8.3598269675399D-01, 0.0000000000000D+00)  ( 8.5393880383158D-01, 0.0000000000000D+00)  
  267 -  268: ( 8.7180439480145D-01, 0.0000000000000D+00)  ( 8.8957986503542D-01, 0.0000000000000D+00)  
  269 -  270: ( 9.0726560711370D-01, 0.0000000000000D+00)  ( 9.2486201084442D-01, 0.0000000000000D+00)  
  271 -  272: ( 9.4236946328544D-01, 0.0000000000000D+00)  ( 9.5978834876418D-01, 0.0000000000000D+00)  
  273 -  274: ( 9.7711904889844D-01, 0.0000000000000D+00)  ( 9.9436194261639D-01, 0.0000000000000D+00)  
  275 -  276: ( 1.0115174061767D+00, 0.0000000000000D+00)  ( 1.0285858131881D+00, 0.0000000000000D+00)  
  277 -  278: ( 1.0455675346292D+00, 0.0000000000000D+00)  ( 1.0624629388675D+00, 0.0000000000000D+00)  
  279 -  280: ( 1.0792723916796D+00, 0.0000000000000D+00)  ( 1.0959962562688D+00, 0.0000000000000D+00)  
  281 -  282: ( 1.1126348932856D+00, 0.0000000000000D+00)  ( 1.1291886608451D+00, 0.0000000000000D+00)  
  283 -  284: ( 1.1456579145463D+00, 0.0000000000000D+00)  ( 1.1620430074902D+00, 0.0000000000000D+00)  
  285 -  286: ( 1.1783442902980D+00, 0.0000000000000D+00)  ( 1.1945621111290D+00, 0.0000000000000D+00)  
  287 -  288: ( 1.2106968156989D+00, 0.0000000000000D+00)  ( 1.2267487472967D+00, 0.0000000000000D+00)  
  289 -  290: ( 1.2427182468032D+00, 0.0000000000000D+00)  ( 1.2586056527077D+00, 0.0000000000000D+00)  
  291 -  292: ( 1.2744113011252D+00, 0.0000000000000D+00)  ( 1.2901355258140D+00, 0.0000000000000D+00)  
  293 -  294: ( 1.3057786581917D+00, 0.0000000000000D+00)  ( 1.3213410273529D+00, 0.0000000000000D+00)  
  295 -  296: ( 1.3368229600850D+00, 0.0000000000000D+00)  ( 1.3522247808850D+00, 0.0000000000000D+00)  
  297 -  298: ( 1.3675468119757D+00, 0.0000000000000D+00)  ( 1.3827893733220D+00, 0.0000000000000D+00)  
  299 -  300: ( 1.3979527826466D+00, 0.0000000000000D+00)  ( 1.4130373554458D+00, 0.0000000000000D+00)  
  301 -  302: ( 1.4280434050053D+00, 0.0000000000000D+00)  ( 1.4429712424158D+00, 0.0000000000000D+00)  
  303 -  304: ( 1.4578211765885D+00, 0.0000000000000D+00)  ( 1.4725935142699D+00, 0.0000000000000D+00)  
  305 -  306: ( 1.4872885600572D+00, 0.0000000000000D+00)  ( 1.5019066164138D+00, 0.0000000000000D+00)  
  307 -  308: ( 1.5164479836828D+00, 0.0000000000000D+00)  ( 1.5309129601030D+00, 0.0000000000000D+00)  
  309 -  310: ( 1.5453018418229D+00, 0.0000000000000D+00)  ( 1.5596149229154D+00, 0.0000000000000D+00)  
  311 -  312: ( 1.5738524953913D+00, 0.0000000000000D+00)  ( 1.5880148492149D+00, 0.0000000000000D+00)  
  313 -  314: ( 1.6021022723165D+00, 0.0000000000000D+00)  ( 1.6161150506076D+00, 0.0000000000000D+00)  
